name,acc_test,acc_train,disp_impact,stat_parity,avg_odds,equal_opport,false_discovery_rate,entropy_index,acc_test_clf,acc_test_priv,acc_test_unpriv,consistency,counterfactual
default_lr_orig,0.813,0.8110833333333334,0.5490725126475549,-0.044317197774196085,-0.08346629113881696,-0.14867285458394397,-0.0625,0.11412415531669066,0.813,0.8304668304668305,0.8010118043844857,0.9618,-0.0221130221130221
default_lr_usd-1,0.816,0.8111666666666667,1.082306395122584,0.005257902391123295,0.0050415501793957245,0.010421755414427636,-0.021575984990619135,0.11224489795918367,0.816,0.8206388206388207,0.8128161888701517,0.9568,0.04422604422604423
default_lr_usd0,0.816,0.810875,0.7970407441658053,-0.01545881309793621,-0.03459434169907851,-0.06350757205666832,-0.02688172043010753,0.11224489795918367,0.816,0.828009828009828,0.8077571669477235,0.96,0.01719901719901719
default_lr_rw,0.816,0.8111666666666667,0.7970407441658053,-0.01545881309793621,-0.03459434169907851,-0.06350757205666832,-0.02688172043010753,0.11224489795918367,0.816,0.828009828009828,0.8077571669477235,0.9594,0.0221130221130221
default_gb_orig,0.829,0.8256666666666667,0.7353649722958323,-0.03641169914357098,-0.06125511398575524,-0.0976225370460837,-0.08690476190476187,0.10038895587995258,0.829,0.8353808353808354,0.8246205733558178,0.9471999999999999,-0.0024570024570024496
default_gb_usd-1,0.828,0.8254583333333333,0.8579258010118044,-0.018151986111513932,-0.023191549151306202,-0.023693209574987828,-0.11153846153846153,0.10093422547658132,0.828,0.8255528255528255,0.8296795952782462,0.9475999999999999,0.017199017199017202
default_gb_usd0,0.828,0.826125,0.7753107238773344,-0.02981135358875661,-0.05296590831473908,-0.0863865819899039,-0.0667880995749848,0.1011078646213782,0.828,0.8353808353808354,0.8229342327150084,0.9495999999999999,0.0024570024570024773
default_gb_rw,0.827,0.8254583333333333,0.7371806882768098,-0.03487037551118494,-0.06131118622523439,-0.10087933561309231,-0.07215836526181352,0.10199814868013661,0.827,0.8353808353808354,0.821247892074199,0.9473999999999999,0.0
default_rf_orig,0.811,0.818,0.6863406408094436,-0.034679781728685605,-0.06341785140902119,-0.10918417195896435,-0.04444444444444445,0.11428442913171742,0.811,0.8230958230958231,0.8026981450252951,0.9473999999999999,0.0
default_rf_usd-1,0.808,0.814875,0.6361205939209477,-0.036656156386341884,-0.056211110909657344,-0.08597948216902787,-0.1309370988446727,0.11716149793912152,0.808,0.8132678132678133,0.8043844856661045,0.9604,0.004914004914004913
default_rf_usd0,0.821,0.8210416666666667,0.8083567547311223,-0.021189056602210057,-0.031908056855748365,-0.04396678065461651,-0.10356394129979035,0.10700647605389099,0.821,0.8230958230958231,0.8195615514333895,0.948,0.004914004914004913
default_rf_rw,0.81,0.81575,0.7044022366202184,-0.027598808374525066,-0.043825290887720025,-0.06749715030125386,-0.11066126855600539,0.11591695501730107,0.81,0.8157248157248157,0.806070826306914,0.9566,0.0
default_svm_orig,0.829,0.8241666666666667,0.7127383577636528,-0.03670173316041782,-0.06104077335561977,-0.0968897573685068,-0.10327635327635326,0.10118476756993215,0.829,0.8353808353808354,0.8246205733558178,0.953,0.0
default_svm_usd-1,0.829,0.8233333333333334,0.7412478920741989,-0.031787728246412905,-0.05385046878350471,-0.085653802312327,-0.09481481481481485,0.10132955590024557,0.829,0.8353808353808354,0.8246205733558178,0.952,0.004914004914004913
default_svm_usd0,0.829,0.823375,0.7401712793043017,-0.03255839006260593,-0.05179960742173275,-0.07840742550073276,-0.11229946524064172,0.10118476756993215,0.829,0.8329238329238329,0.8263069139966274,0.9536,0.0024570024570024496
default_svm_rw,0.829,0.8232083333333333,0.7412478920741989,-0.031787728246412905,-0.05385046878350471,-0.085653802312327,-0.09481481481481485,0.10132955590024557,0.829,0.8353808353808354,0.8246205733558178,0.952,0.004914004914004913
