name,acc_test,acc_train,disp_impact,stat_parity,avg_odds,equal_opport,false_discovery_rate,entropy_index,acc_test_clf,acc_test_priv,acc_test_unpriv,consistency,counterfactual
german_lr_orig,0.79,0.7775,0.5886524822695035,-0.3493975903614458,-0.2993197278911564,-0.35531135531135527,0.04380475594493116,0.08264462809917349,0.79,0.8192771084337349,0.6470588235294118,0.817,-0.12048192771084343
german_lr_usd-1,0.755,0.7575,1.036959916710047,0.02515946137491143,0.0902668759811617,-0.01098901098901095,0.14122418879056048,0.12372162319133335,0.755,0.7710843373493976,0.6764705882352942,0.764,0.1506024096385542
german_lr_usd0,0.795,0.775,0.8256920415224914,-0.14280652019844076,-0.11451247165532882,-0.08302808302808307,0.0262148337595908,0.07943121557707661,0.795,0.8012048192771084,0.7647058823529411,0.8180000000000001,0.024096385542168752
german_lr_rw,0.805,0.77,0.8256920415224914,-0.14280652019844076,-0.10858189429618001,-0.09157509157509158,0.03356777493606136,0.07533629532564852,0.805,0.8132530120481928,0.7647058823529411,0.829,0.006024096385542244
german_gb_orig,0.795,0.9125,0.5462772521596051,-0.39085754783841253,-0.3728414442700157,-0.3076923076923077,-0.07779720279720279,0.07943121557707662,0.795,0.8072289156626506,0.7352941176470589,0.7899999999999999,-0.10843373493975905
german_gb_usd-1,0.75,0.85625,1.0257043994068216,0.01842664776754077,0.08529565672422817,-0.03663003663003661,0.1519327731092437,0.11740032048260908,0.75,0.7710843373493976,0.6470588235294118,0.779,0.09036144578313254
german_gb_usd0,0.77,0.895,0.8781210325856962,-0.10205527994330255,-0.109366823652538,0.0293040293040292,-0.02302158273381294,0.08344427911347804,0.77,0.7590361445783133,0.8235294117647058,0.8300000000000001,0.0
german_gb_rw,0.775,0.90625,0.8021008403361345,-0.1669029057406095,-0.1759113901971045,-0.026862026862026878,-0.047515527950310554,0.08271604938271601,0.775,0.7650602409638554,0.8235294117647058,0.819,-0.01807228915662651
german_rf_orig,0.71,0.7725,0.8794300328827183,-0.11693834160170091,-0.11791383219954649,-0.08669108669108672,0.06532448061683449,0.07004283194759374,0.71,0.7228915662650602,0.6470588235294118,0.937,-0.030120481927710774
german_rf_usd-1,0.75,0.7825,1.0645731977001327,0.0517363571934798,0.08791208791208788,0.05494505494505486,0.09981851179673323,0.09390943877551015,0.75,0.7590361445783133,0.7058823529411765,0.8230000000000002,0.12650602409638556
german_rf_usd0,0.73,0.7725,1.0015082956259427,0.0014174344436569397,0.054421768707483,-0.09523809523809523,0.15625,0.06640000000000013,0.73,0.7650602409638554,0.5588235294117647,0.925,0.03614457831325302
german_rf_rw,0.75,0.75375,1.0015082956259427,0.0014174344436569397,0.025117739403453687,0.0,0.09375,0.06000000000000012,0.75,0.7650602409638554,0.6764705882352942,0.936,0.0
german_svm_orig,0.735,0.7675,0.7278041651443187,-0.2639971651311126,-0.28963893249607536,-0.1428571428571429,-0.023291925465838526,0.06876854234621113,0.735,0.7349397590361446,0.7352941176470589,0.908,-0.03614457831325302
german_svm_usd-1,0.805,0.77,0.9840401276789785,-0.012402551381998639,0.0046223617652189075,0.09401709401709402,0.014013118664281454,0.07975323323918537,0.805,0.7951807228915663,0.8529411764705882,0.804,0.10240963855421681
german_svm_usd0,0.72,0.745,0.92854565138939,-0.07016300496102057,-0.0847723704866562,0.0,0.04037205620423512,0.0615234375,0.72,0.7228915662650602,0.7058823529411765,0.972,0.0
german_svm_rw,0.745,0.755,0.9211986681465039,-0.07547838412473429,-0.0824175824175824,0.0,0.03584905660377358,0.06030856653069005,0.745,0.7469879518072289,0.7352941176470589,0.946,0.0060240963855421326
