,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,adult_gb_orig,tree,0.012054459194768751,7,-0.018345459695131957,0.008899512997889892
1,adult_rf_orig,tree,0.006201754478564575,10,-0.009415598549935256,0.004586392077187389
2,adult_rf_rw,tree,0.004406997082167592,13,0.006648952703350182,-0.003268457078502765
3,adult_gb_rw,tree,0.0021182991747864207,16,0.003331061981642208,-0.0015100968061830668
4,adult_rf_usd-1,tree,0.025508059665559857,1,0.05009029674355401,-0.013180030860679806
5,adult_gb_usd-1,tree,0.02196662013536897,5,0.04162430944305877,-0.01210825943151254
6,adult_gb_usd0,tree,0.0006804383828042884,24,0.0012742523297870436,-0.0003336339594106533
7,adult_rf_usd0,tree,0.000427487619868505,24,0.0008066552963804071,-0.00023733446077695014
1,adult_gb_usd0,kernel,0.0002285144672559625,26,0.0006107815284826513,-9.227809093792193e-08
2,adult_svm_usd0,kernel,0.013138725651669349,8,0.03180921714974405,-0.0037754461316138635
3,adult_svm_usd-1,kernel,0.029220952707111177,4,0.07347913613542352,-0.00702540726408372
4,adult_lr_usd0,linear,0.10174198351619752,15,0.19866077749643696,-0.04520998571018179
5,adult_lr_usd0,kernel,0.011451232378569235,12,0.027229116066659884,-0.0035386000184757533
6,adult_lr_orig,linear,0.35309878631484304,8,-0.532996918773183,0.2628042927221318
7,adult_lr_orig,kernel,0.035426726611880545,4,-0.056104784080397235,0.025056649743285087
9,adult_gb_orig,kernel,0.011281330298908484,5,-0.01954829817440348,0.0071354334964830405
11,adult_rf_usd-1,kernel,0.023050277986081537,1,0.05806347259725255,-0.005491108316214979
13,adult_gb_usd-1,kernel,0.018334052837114697,5,0.04648528894030042,-0.00421616566224379
14,adult_lr_usd-1,linear,0.5626231716828317,1,1.1934491831231644,-0.2415764684447388
15,adult_lr_usd-1,kernel,0.04941083268441655,1,0.12054395479935474,-0.01373746513728529
16,adult_svm_orig,kernel,0.014100635373839831,9,-0.02337495256171393,0.009449551378719785
18,adult_gb_rw,kernel,0.0006847344163725277,20,0.0013308031306137715,-0.00036072998610739936
19,adult_svm_rw,kernel,0.014820688122814224,8,0.025160011095738743,-0.009635502127383585
21,adult_rf_rw,kernel,0.0040158385149102254,12,0.007194726241044989,-0.0024099611785890203
22,adult_lr_rw,linear,0.048656708489949664,28,-0.00023466599042926842,-0.0006775482917853846
23,adult_lr_rw,kernel,0.015610911628134654,9,0.025523194471218636,-0.010639886899020469
25,adult_rf_orig,kernel,0.0062952927456724934,9,-0.011729828161408771,0.0035698650747176546
27,adult_rf_usd0,kernel,0.00015352191747387343,24,0.0004476682682824887,-3.1942324263756345e-06
