,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,german_gb_orig,tree,0.026288666109959846,8,-0.07395682778159206,0.016525307695288198
1,german_rf_orig,tree,0.0180764738949947,4,-0.04920009708845207,0.011619131785837785
2,german_rf_rw,tree,0.0012727361250639644,38,-0.003204385365808027,0.0008378742784906899
3,german_gb_rw,tree,0.005155692593147244,30,-0.016479406025312882,0.002368015418789171
4,german_rf_usd-1,tree,0.017159772158370692,4,0.045313552120114585,-0.011393335298736408
5,german_gb_usd-1,tree,0.03005342089445784,6,0.07305907584936054,-0.021245033735019923
6,german_rf_usd0,tree,0.005311056073859799,15,0.013399280640277072,-0.003641276098589417
7,german_gb_usd0,tree,0.00038369714124643665,57,0.0016274729990491171,-0.00012894786916636935
1,german_gb_orig,kernel,0.022608827865281938,6,-0.08906079552383707,0.008998183887023656
2,german_lr_orig,linear,0.1957379711144506,8,-0.5176987490361257,0.12172745881047024
3,german_lr_orig,kernel,0.02296017944214536,9,-0.09160854068910088,0.008899671716865313
4,german_svm_orig,kernel,0.01403921146029919,10,-0.05842061401665391,0.004949044671648225
6,german_rf_orig,kernel,0.013431682864012357,5,-0.0630525521998658,0.003169469118354261
8,german_gb_rw,kernel,0.0031021096226110717,32,-0.015368903347456346,0.0002858551943525777
9,german_lr_rw,linear,0.01376980482791375,52,-0.036611608618471465,0.009047202147237388
10,german_lr_rw,kernel,0.003500143973635955,39,0.017002795705847482,-0.0007345406067974478
11,german_svm_rw,kernel,0.0018890289319565665,39,0.008853783990187025,-0.00046251283569249756
13,german_rf_rw,kernel,0.00044344013430662666,40,-0.0019011009617344121,0.0001448830973635863
14,german_lr_usd-1,linear,0.23022732225289425,6,0.5259314246734291,-0.15813745263393073
15,german_lr_usd-1,kernel,0.032849181423353316,8,0.1283857600336577,-0.013281448454977706
16,german_svm_usd-1,kernel,0.020076804738735552,7,0.07868167189547749,-0.008073398212655871
18,german_rf_usd-1,kernel,0.01323407390876088,7,0.055207887708190614,-0.004637027708877678
20,german_gb_usd-1,kernel,0.02507247435167964,7,0.092966569800702,-0.011166454801879888
21,german_svm_usd0,kernel,0.0019148411517579528,36,0.011134786279777265,-2.641865565761117e-05
22,german_lr_usd0,linear,0.01145629738021784,53,0.024964949940589697,-0.005009446091463064
23,german_lr_usd0,kernel,0.0032072364448601275,40,0.01880823718315537,-1.1850751474352424e-05
25,german_rf_usd0,kernel,0.002857499294524575,19,0.013366599515407793,-0.0007050329842231938
27,german_gb_usd0,kernel,0.00011744742352863767,57,0.0006908671972272804,0.0
