,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,pnad_genero_gb_orig,tree,0.028651121291036474,1,-0.03491274034361758,0.02444180547308061
1,pnad_genero_rf_orig,tree,0.011430157265022023,4,-0.013708374768038205,0.00982773875176348
2,pnad_genero_gb_rw,tree,0.015179001425910927,5,-0.018645545049545523,0.012847808624232305
3,pnad_genero_rf_rw,tree,0.0001631054660902858,31,-9.380665407647159e-05,4.4875014667794e-05
4,pnad_genero_rf_usd-1,tree,0.003673457418040986,12,0.0051481895268790994,-0.0026820823214641853
5,pnad_genero_gb_usd-1,tree,0.000988524366315199,27,-0.0012648903139160699,0.0006546450796570513
6,pnad_genero_rf_usd0,tree,0.0010606385789565626,20,-0.0013896495573404173,0.0008348728878514507
7,pnad_genero_gb_usd0,tree,0.01383353478329678,5,-0.018267823270916958,0.010823393155893531
0,pnad_genero_svm_usd-1,kernel,0.0026595165866274404,23,0.002414525104944434,-0.0011722875437521225
1,pnad_genero_lr_rw,kernel,0.016856185544859875,6,-0.01939826429761529,0.015147296483642997
2,pnad_genero_lr_usd0,kernel,0.01550467574647423,6,-0.023638723742790104,0.010036636792429091
3,pnad_genero_gb_rw,kernel,0.01531562826623835,3,-0.01912991879629197,0.012751506538677192
4,pnad_genero_rf_usd-1,kernel,0.0031439511726635994,10,0.005866452006224987,-0.0013137750270253495
5,pnad_genero_svm_usd0,kernel,0.012502744514095892,5,-0.018326308252708912,0.008587907352018243
6,pnad_genero_lr_orig,kernel,0.033878482201157835,2,-0.039104369354627536,0.03036542762641738
7,pnad_genero_rf_orig,kernel,0.011195858270175494,4,-0.012362264656913605,0.01035334988529407
8,pnad_genero_svm_orig,kernel,0.029716984131686025,2,-0.034764635454875126,0.026323746954558917
9,pnad_genero_svm_rw,kernel,0.01205661632624619,5,-0.014033067828703278,0.010727964981785059
10,pnad_genero_gb_usd-1,kernel,0.00043724126316442,26,-0.0008997902917759525,0.0001262969328937911
11,pnad_genero_rf_usd0,kernel,0.00044978218185553115,22,-0.000505694050850134,0.00041219594216350733
12,pnad_genero_rf_rw,kernel,3.3899991059782894e-05,33,-3.5872824058674486e-05,-2.8697586540838905e-05
13,pnad_genero_gb_usd0,kernel,0.01374251748347756,3,-0.02150870018458915,0.00847597103512338
14,pnad_genero_gb_orig,kernel,0.028716450228535306,1,-0.03452533526499582,0.02481148068897496
15,pnad_genero_lr_usd-1,kernel,0.00011627555863201611,66,0.00028023561313378706,4.484706731244512e-06
17,pnad_genero_lr_orig,linear,0.3270763491673989,2,-0.3999329587990978,0.2780991634283632
19,pnad_genero_lr_rw,linear,0.16494067403324816,7,-0.20155133751160936,0.14032949223006932
23,pnad_genero_lr_usd-1,linear,0.036306256198269736,37,0.05135401192226715,-0.026190540811903598
26,pnad_genero_lr_usd0,linear,0.1403324358303737,9,-0.18870446709226554,0.1078147827078312
