,name,shap_method,feat_import,feature_pos,unpriv_value,priv_value
0,pnad_raca_rf_orig,tree,0.02033508189030824,1,-0.017646715519839245,0.023226143265870167
1,pnad_raca_gb_orig,tree,0.014810313240671991,5,-0.013213922602004024,0.01669978983407944
2,pnad_raca_gb_rw,tree,0.013969028558347231,6,0.012372196106275195,-0.015866359021093623
3,pnad_raca_rf_rw,tree,8.637544277846511e-05,35,4.5180288692605464e-05,-5.366336098098479e-05
4,pnad_raca_gb_usd-1,tree,0.05350756868412778,1,0.059064340981902524,-0.046905101818281635
5,pnad_raca_rf_usd-1,tree,0.015007052552699116,1,0.016915504061066323,-0.01273946137317314
6,pnad_raca_gb_usd0,tree,0.013902776977557442,6,0.01392344928104448,-0.013878214481291676
7,pnad_raca_rf_usd0,tree,0.0011959420447097565,18,0.0012036865532418185,-0.0011239843887386213
1,pnad_raca_gb_usd-1,kernel,0.05393820509657226,1,0.0840905529794684,-0.01811167358582257
2,pnad_raca_lr_rw,linear,0.10775624511318144,14,0.09283708982559977,-0.1253132604827045
3,pnad_raca_lr_rw,kernel,0.0278722288935206,3,0.02077495677185738,-0.036305092705474905
4,pnad_raca_lr_orig,linear,0.32846054672609665,1,-0.2853454803645581,0.3796891704335702
5,pnad_raca_lr_orig,kernel,0.01676337142070704,4,-0.012401790020717016,0.021945731815005892
6,pnad_raca_svm_rw,kernel,0.02098542208787078,4,0.0172351943947484,-0.0254413819070512
8,pnad_raca_rf_orig,kernel,0.02011530137055758,1,-0.012512549449003691,0.02889331273102753
10,pnad_raca_rf_usd-1,kernel,0.013574560752022128,1,0.02015987724945431,-0.005749994322906818
12,pnad_raca_gb_orig,kernel,0.015413953071926525,2,-0.012312182198635904,0.019028571727865616
13,pnad_raca_lr_usd-1,linear,0.7045281039842032,0,0.8348473271242399,-0.5496849132510734
14,pnad_raca_lr_usd-1,kernel,0.07054009490364051,0,0.111052342070145,-0.02240409881740001
16,pnad_raca_rf_rw,kernel,2.9495019010272558e-05,35,5.706565042701949e-06,-4.059203354683169e-05
18,pnad_raca_gb_rw,kernel,0.014888522363805294,3,0.012100609175959398,-0.01820107567015172
19,pnad_raca_svm_orig,kernel,0.013410394889002732,6,-0.012446879988553313,0.014512868280510726
20,pnad_raca_svm_usd-1,kernel,0.06460588559090925,0,0.09917473093284536,-0.02353174331372898
21,pnad_raca_svm_usd0,kernel,0.02072174335014437,4,0.024008427030151984,-0.01681655902138262
23,pnad_raca_rf_usd0,kernel,0.0006302886827354197,19,0.0007918531513069654,-0.00043832039732108734
24,pnad_raca_lr_usd0,linear,0.16840356820371116,7,0.17476389663231506,-0.1608463289548452
25,pnad_raca_lr_usd0,kernel,0.027073406100709886,3,0.03170293283019012,-0.0215726774046316
27,pnad_raca_gb_usd0,kernel,0.014450580787492694,3,0.016924928825000664,-0.011510600515355256
